Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-03-13,56197.3984375,56384.72309895833,55541.762122395834,56103.73610677083,12779724
2023-03-14,55260.78515625,55729.09689486229,55260.78515625,55635.434547139834,12147346
2023-03-15,56010.08984375,56478.401631741224,55822.76512855351,56197.41455894649,10482149
2023-03-16,56103.74609375,56384.73313595576,55354.44731453464,55448.10966193656,10611939
2023-03-17,57415.0234375,57415.0234375,56759.38695452691,56946.7116639478,14090110
2023-03-20,56384.73046875,57321.35389846346,56384.73046875,57227.69155549211,9618009
2023-03-21,56478.3984375,56853.04784670398,56291.07373289801,56665.72314210199,8318514
2023-03-22,57227.69140625,57321.35374897709,56665.71734988748,57134.02906352292,8978591
2023-03-23,58351.640625,58351.640625,56759.380768459065,56759.380768459065,15381057
2023-03-24,59007.28125,59288.26830357143,58351.644791666666,58726.29419642857,18278602
2023-03-27,58164.31640625,58819.95282306764,58070.65406099034,58632.628132548314,11039331
2023-03-28,58913.625,58913.625,58164.326112877585,58445.313195548486,11614118
2023-03-29,58726.296875,58726.296875,58257.9850976874,58538.97216407496,11216008
2023-03-30,59537.39453125,60008.41822216179,59443.18979306764,60008.41822216179,15684377
2023-03-31,60291.03515625,60291.03515625,60008.42092895508,60291.03515625,14094479
2023-04-03,59443.19140625,60291.03407290016,59348.9866655111,60291.03407290016,11973133
2023-04-04,59914.21875,60102.62824292453,59160.58077830189,59725.809257075474,11120514
2023-04-05,60196.828125,60291.03286384977,59725.804430751174,60008.41864730047,9176149
2023-04-06,58689.55078125,59914.21235453451,58689.55078125,59820.00761812801,14992747
2023-04-07,61233.08203125,61421.491514423076,60102.62513221154,60102.62513221154,27476120
2023-04-10,61892.515625,62457.744078196345,60950.46820300609,61044.67294520548,18777166
2023-04-11,62080.9296875,62363.5439349393,61609.90594176783,62363.5439349393,16323183
2023-04-12,62175.125,62363.53446969697,61515.69185606061,61986.71553030303,15021313
2023-04-13,62269.33984375,62269.33984375,61609.90659275719,61798.31609304085,15091022
2023-04-14,61327.2890625,62740.3602390553,61233.084317396315,62740.3602390553,16176490
2023-04-17,61515.6953125,61798.30953292496,60950.46687165008,61233.08109207504,13486618
2023-04-18,61798.3046875,62175.12361852134,61044.666825457316,62080.918885766005,14802060
2023-04-19,61704.10546875,61986.71969227099,61515.69598640267,61704.10546875,10255985
2023-04-20,61515.6953125,61515.6953125,60856.262131508425,61327.285832216694,9501169
2023-04-21,61892.515625,62080.92510939878,61609.901398401824,61986.720367199385,10538622
2023-04-24,61421.4921875,61892.51590059433,61044.673217024545,61515.696930118866,12986581
2023-04-25,59914.21875,61609.90418632076,59725.809257075474,61515.699439858494,16193271
2023-04-26,60385.23828125,60573.64776106669,59631.60036198323,59914.21458170827,12664541
2023-04-27,60856.265625,61233.08460719814,59631.60393285604,60385.24189725232,14779601
2023-04-28,61704.10546875,62080.924433444656,61233.08176288168,61421.49124522901,19699481
2023-05-02,61892.515625,62457.744078196345,61327.28717180365,62175.12985159817,14396948
2023-05-03,61609.90234375,61798.311831039755,61138.87862552561,61327.28811281537,8876749
2023-05-04,61327.2890625,61892.51753312212,60950.47008208525,61798.31278801843,9791064
2023-05-08,62080.9296875,62457.74868408573,61609.90594176783,62457.74868408573,9405365
2023-05-09,61515.6953125,61986.71901320827,61327.285832216694,61986.71901320827,9366861
2023-05-10,60856.265625,61704.10833494582,60573.6513883514,61704.10833494582,13057727
2023-05-11,60479.4375,61327.2800817757,60479.4375,60950.46115654206,11648905
2023-05-12,60385.23828125,60856.261980791736,59914.21458170827,60008.41932161662,8693913
2023-05-15,60762.0546875,60856.259423449614,60196.826271802325,60385.23574370155,8172021
2023-05-16,61609.90234375,62080.92606197439,61515.69760010512,61986.72131832951,12334657
2023-05-17,61233.08203125,62080.92470552885,61044.672548076924,62080.92470552885,10745504
2023-05-18,62363.53515625,62363.53515625,61892.51147682213,62175.12568447885,14431704
2023-05-19,64436.03515625,64436.03515625,63588.19258840461,63870.806777686405,20349345
2023-05-22,64530.23828125,65001.26191833942,64059.21464416059,64436.03355383212,14470308
2023-05-23,64436.03515625,64718.6493455318,64153.4209669682,64530.2398860106,8561643
2023-05-24,64530.23828125,64718.64773608577,64059.21464416059,64153.41937157847,8192896
2023-05-25,64812.859375,65943.31622456395,64718.65463753634,65849.1114871003,14231160
2023-05-26,66225.921875,66320.1266002845,65472.28407272404,65754.89824857752,19549511
2023-05-30,68110.046875,68110.046875,67073.7944329184,67167.99920038035,27476897
2023-05-31,67262.1796875,68298.4317555147,66885.36075367648,68204.22702205883,25666087
2023-06-01,66791.1640625,67450.59727609309,66508.54982810296,66791.1640625,14669296
